publish_time_utc,process_type,business_type,psr_type,settlement_date,settlement_period,target_start_utc,quantity_mw
2026-09-06T16:45:03Z,Day ahead,Solar generation,Solar,2026-09-08,1,2026-09-07T23:00:00Z,0.000
2026-09-06T16:45:03Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,1,2026-09-07T23:00:00Z,11161.000
2026-09-06T16:45:03Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,1,2026-09-07T23:00:00Z,8572.000
2026-09-06T16:45:03Z,Day ahead,Solar generation,Solar,2026-09-08,2,2026-09-07T23:30:00Z,0.000
2026-09-06T16:45:03Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,2,2026-09-07T23:30:00Z,11661.000
2026-09-06T16:45:03Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,2,2026-09-07T23:30:00Z,8678.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,3,2026-09-08T00:00:00Z,0.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,3,2026-09-08T00:00:00Z,11416.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,3,2026-09-08T00:00:00Z,8757.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,4,2026-09-08T00:30:00Z,0.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,4,2026-09-08T00:30:00Z,11617.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,4,2026-09-08T00:30:00Z,8805.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,5,2026-09-08T01:00:00Z,0.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,5,2026-09-08T01:00:00Z,11787.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,5,2026-09-08T01:00:00Z,8811.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,6,2026-09-08T01:30:00Z,0.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,6,2026-09-08T01:30:00Z,11975.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,6,2026-09-08T01:30:00Z,8780.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,7,2026-09-08T02:00:00Z,0.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,7,2026-09-08T02:00:00Z,12134.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,7,2026-09-08T02:00:00Z,8718.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,8,2026-09-08T02:30:00Z,0.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,8,2026-09-08T02:30:00Z,12242.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,8,2026-09-08T02:30:00Z,8623.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,9,2026-09-08T03:00:00Z,0.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,9,2026-09-08T03:00:00Z,12292.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,9,2026-09-08T03:00:00Z,8536.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,10,2026-09-08T03:30:00Z,0.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,10,2026-09-08T03:30:00Z,12241.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,10,2026-09-08T03:30:00Z,8448.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,11,2026-09-08T04:00:00Z,0.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,11,2026-09-08T04:00:00Z,12183.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,11,2026-09-08T04:00:00Z,8385.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,12,2026-09-08T04:30:00Z,0.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,12,2026-09-08T04:30:00Z,12101.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,12,2026-09-08T04:30:00Z,8343.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,13,2026-09-08T05:00:00Z,53.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,13,2026-09-08T05:00:00Z,12031.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,13,2026-09-08T05:00:00Z,8304.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,14,2026-09-08T05:30:00Z,140.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,14,2026-09-08T05:30:00Z,11984.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,14,2026-09-08T05:30:00Z,8262.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,15,2026-09-08T06:00:00Z,317.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,15,2026-09-08T06:00:00Z,11798.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,15,2026-09-08T06:00:00Z,8214.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,16,2026-09-08T06:30:00Z,893.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,16,2026-09-08T06:30:00Z,11637.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,16,2026-09-08T06:30:00Z,8149.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,17,2026-09-08T07:00:00Z,1577.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,17,2026-09-08T07:00:00Z,11533.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,17,2026-09-08T07:00:00Z,8095.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,18,2026-09-08T07:30:00Z,2276.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,18,2026-09-08T07:30:00Z,11488.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,18,2026-09-08T07:30:00Z,8049.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,19,2026-09-08T08:00:00Z,3159.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,19,2026-09-08T08:00:00Z,11382.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,19,2026-09-08T08:00:00Z,8110.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,20,2026-09-08T08:30:00Z,4164.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,20,2026-09-08T08:30:00Z,11222.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,20,2026-09-08T08:30:00Z,8291.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,21,2026-09-08T09:00:00Z,5205.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,21,2026-09-08T09:00:00Z,11037.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,21,2026-09-08T09:00:00Z,8375.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,22,2026-09-08T09:30:00Z,6133.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,22,2026-09-08T09:30:00Z,10815.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,22,2026-09-08T09:30:00Z,8538.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,23,2026-09-08T10:00:00Z,6846.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,23,2026-09-08T10:00:00Z,10566.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,23,2026-09-08T10:00:00Z,8676.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,24,2026-09-08T10:30:00Z,7397.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,24,2026-09-08T10:30:00Z,10291.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,24,2026-09-08T10:30:00Z,8799.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,25,2026-09-08T11:00:00Z,7882.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,25,2026-09-08T11:00:00Z,10065.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,25,2026-09-08T11:00:00Z,8903.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,26,2026-09-08T11:30:00Z,8245.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,26,2026-09-08T11:30:00Z,9902.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,26,2026-09-08T11:30:00Z,9019.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,27,2026-09-08T12:00:00Z,8491.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,27,2026-09-08T12:00:00Z,9786.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,27,2026-09-08T12:00:00Z,9152.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,28,2026-09-08T12:30:00Z,8549.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,28,2026-09-08T12:30:00Z,9755.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,28,2026-09-08T12:30:00Z,9286.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,29,2026-09-08T13:00:00Z,8483.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,29,2026-09-08T13:00:00Z,9854.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,29,2026-09-08T13:00:00Z,9400.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,30,2026-09-08T13:30:00Z,8159.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,30,2026-09-08T13:30:00Z,10065.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,30,2026-09-08T13:30:00Z,9503.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,31,2026-09-08T14:00:00Z,7712.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,31,2026-09-08T14:00:00Z,10301.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Onshore,2026-09-08,31,2026-09-08T14:00:00Z,9594.000
2026-09-07T16:45:11Z,Day ahead,Solar generation,Solar,2026-09-08,32,2026-09-08T14:30:00Z,6945.000
2026-09-07T16:45:11Z,Day ahead,Wind generation,Wind Offshore,2026-09-08,32,2026-09-08T14:30:00Z,10590.000
