bm_unit,national_grid_bm_unit,settlement_date,settlement_period,half_hour_end_utc,settlement_run_type,psr_type,quantity_mwh
2__BLOND003,AG-BEDF03,2026-09-08,1,2026-09-07T23:30:00Z,II,Generation,1.318
2__BLOND003,AG-BEDF03,2026-09-08,2,2026-09-08T00:00:00Z,II,Generation,2.017
2__BLOND003,AG-BEDF03,2026-09-08,3,2026-09-08T00:30:00Z,II,Generation,2.344
2__BLOND003,AG-BEDF03,2026-09-08,4,2026-09-08T01:00:00Z,II,Generation,2.194
2__BLOND003,AG-BEDF03,2026-09-08,5,2026-09-08T01:30:00Z,II,Generation,2.473
2__BLOND003,AG-BEDF03,2026-09-08,6,2026-09-08T02:00:00Z,II,Generation,2.482
2__BLOND003,AG-BEDF03,2026-09-08,7,2026-09-08T02:30:00Z,II,Generation,2.759
2__BLOND003,AG-BEDF03,2026-09-08,8,2026-09-08T03:00:00Z,II,Generation,3.562
2__BLOND003,AG-BEDF03,2026-09-08,9,2026-09-08T03:30:00Z,II,Generation,3.381
2__BLOND003,AG-BEDF03,2026-09-08,10,2026-09-08T04:00:00Z,II,Generation,3.381
2__BLOND003,AG-BEDF03,2026-09-08,11,2026-09-08T04:30:00Z,II,Generation,3.140
2__BLOND003,AG-BEDF03,2026-09-08,12,2026-09-08T05:00:00Z,II,Generation,2.022
2__BLOND003,AG-BEDF03,2026-09-08,13,2026-09-08T05:30:00Z,II,Generation,1.755
2__BLOND003,AG-BEDF03,2026-09-08,14,2026-09-08T06:00:00Z,II,Generation,1.589
2__BLOND003,AG-BEDF03,2026-09-08,15,2026-09-08T06:30:00Z,II,Generation,1.037
2__BLOND003,AG-BEDF03,2026-09-08,16,2026-09-08T07:00:00Z,II,Generation,1.045
2__BLOND003,AG-BEDF03,2026-09-08,17,2026-09-08T07:30:00Z,II,Generation,0.485
2__BLOND003,AG-BEDF03,2026-09-08,18,2026-09-08T08:00:00Z,II,Generation,0.104
2__BLOND003,AG-BEDF03,2026-09-08,19,2026-09-08T08:30:00Z,II,Generation,-0.019
2__BLOND003,AG-BEDF03,2026-09-08,20,2026-09-08T09:00:00Z,II,Generation,0.043
2__BLOND003,AG-BEDF03,2026-09-08,21,2026-09-08T09:30:00Z,II,Generation,-0.011
2__BLOND003,AG-BEDF03,2026-09-08,22,2026-09-08T10:00:00Z,II,Generation,-0.039
2__BLOND003,AG-BEDF03,2026-09-08,23,2026-09-08T10:30:00Z,II,Generation,0.024
2__BLOND003,AG-BEDF03,2026-09-08,24,2026-09-08T11:00:00Z,II,Generation,-0.025
2__BLOND003,AG-BEDF03,2026-09-08,25,2026-09-08T11:30:00Z,II,Generation,-0.010
