publish_time_utc,target_start_utc,settlement_date,settlement_period,covers_periods,forecast_mw,dataset
2026-09-07T03:30:00Z,2026-09-07T23:00:00Z,2026-09-08,1,1-2,16158,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T00:00:00Z,2026-09-08,3,3-4,16766,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T01:00:00Z,2026-09-08,5,5-6,17358,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T02:00:00Z,2026-09-08,7,7-8,17800,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T03:00:00Z,2026-09-08,9,9-10,17966,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T04:00:00Z,2026-09-08,11,11-12,18079,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T05:00:00Z,2026-09-08,13,13-14,18235,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T06:00:00Z,2026-09-08,15,15-16,18291,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T07:00:00Z,2026-09-08,17,17-18,18093,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T08:00:00Z,2026-09-08,19,19-20,17825,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T09:00:00Z,2026-09-08,21,21-22,17569,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T10:00:00Z,2026-09-08,23,23-24,17332,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T11:00:00Z,2026-09-08,25,25-26,17214,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T12:00:00Z,2026-09-08,27,27-28,17151,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T13:00:00Z,2026-09-08,29,29-30,17224,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T14:00:00Z,2026-09-08,31,31-32,17509,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T15:00:00Z,2026-09-08,33,33-34,17793,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T16:00:00Z,2026-09-08,35,35-36,18000,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T17:00:00Z,2026-09-08,37,37-38,18205,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T18:00:00Z,2026-09-08,39,39-40,18331,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T19:00:00Z,2026-09-08,41,41-42,18397,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T20:00:00Z,2026-09-08,43,43-44,18430,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T21:00:00Z,2026-09-08,45,45-46,18248,WINDFOR
2026-09-07T03:30:00Z,2026-09-08T22:00:00Z,2026-09-08,47,47-48,17893,WINDFOR
2026-09-07T05:30:00Z,2026-09-07T23:00:00Z,2026-09-08,1,1-2,15775,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T00:00:00Z,2026-09-08,3,3-4,16356,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T01:00:00Z,2026-09-08,5,5-6,16969,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T02:00:00Z,2026-09-08,7,7-8,17422,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T03:00:00Z,2026-09-08,9,9-10,17627,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T04:00:00Z,2026-09-08,11,11-12,17785,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T05:00:00Z,2026-09-08,13,13-14,17984,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T06:00:00Z,2026-09-08,15,15-16,18078,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T07:00:00Z,2026-09-08,17,17-18,17846,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T08:00:00Z,2026-09-08,19,19-20,17570,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T09:00:00Z,2026-09-08,21,21-22,17292,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T10:00:00Z,2026-09-08,23,23-24,17013,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T11:00:00Z,2026-09-08,25,25-26,16844,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T12:00:00Z,2026-09-08,27,27-28,16724,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T13:00:00Z,2026-09-08,29,29-30,16780,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T14:00:00Z,2026-09-08,31,31-32,17075,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T15:00:00Z,2026-09-08,33,33-34,17486,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T16:00:00Z,2026-09-08,35,35-36,17812,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T17:00:00Z,2026-09-08,37,37-38,18116,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T18:00:00Z,2026-09-08,39,39-40,18298,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T19:00:00Z,2026-09-08,41,41-42,18447,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T20:00:00Z,2026-09-08,43,43-44,18515,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T21:00:00Z,2026-09-08,45,45-46,18399,WINDFOR
2026-09-07T05:30:00Z,2026-09-08T22:00:00Z,2026-09-08,47,47-48,18065,WINDFOR
2026-09-07T08:30:00Z,2026-09-07T23:00:00Z,2026-09-08,1,1-2,15843,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T00:00:00Z,2026-09-08,3,3-4,16417,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T01:00:00Z,2026-09-08,5,5-6,16941,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T02:00:00Z,2026-09-08,7,7-8,17226,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T03:00:00Z,2026-09-08,9,9-10,17325,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T04:00:00Z,2026-09-08,11,11-12,17446,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T05:00:00Z,2026-09-08,13,13-14,17507,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T06:00:00Z,2026-09-08,15,15-16,17584,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T07:00:00Z,2026-09-08,17,17-18,17399,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T08:00:00Z,2026-09-08,19,19-20,17129,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T09:00:00Z,2026-09-08,21,21-22,16881,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T10:00:00Z,2026-09-08,23,23-24,16525,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T11:00:00Z,2026-09-08,25,25-26,16216,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T12:00:00Z,2026-09-08,27,27-28,16126,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T13:00:00Z,2026-09-08,29,29-30,16178,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T14:00:00Z,2026-09-08,31,31-32,16510,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T15:00:00Z,2026-09-08,33,33-34,16926,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T16:00:00Z,2026-09-08,35,35-36,17303,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T17:00:00Z,2026-09-08,37,37-38,17599,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T18:00:00Z,2026-09-08,39,39-40,17826,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T19:00:00Z,2026-09-08,41,41-42,18113,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T20:00:00Z,2026-09-08,43,43-44,18329,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T21:00:00Z,2026-09-08,45,45-46,18318,WINDFOR
2026-09-07T08:30:00Z,2026-09-08T22:00:00Z,2026-09-08,47,47-48,17988,WINDFOR
2026-09-07T10:30:00Z,2026-09-07T23:00:00Z,2026-09-08,1,1-2,15654,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T00:00:00Z,2026-09-08,3,3-4,16314,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T01:00:00Z,2026-09-08,5,5-6,16836,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T02:00:00Z,2026-09-08,7,7-8,17138,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T03:00:00Z,2026-09-08,9,9-10,17270,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T04:00:00Z,2026-09-08,11,11-12,17315,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T05:00:00Z,2026-09-08,13,13-14,17345,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T06:00:00Z,2026-09-08,15,15-16,17286,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T07:00:00Z,2026-09-08,17,17-18,17049,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T08:00:00Z,2026-09-08,19,19-20,16770,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T09:00:00Z,2026-09-08,21,21-22,16499,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T10:00:00Z,2026-09-08,23,23-24,16112,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T11:00:00Z,2026-09-08,25,25-26,15679,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T12:00:00Z,2026-09-08,27,27-28,15535,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T13:00:00Z,2026-09-08,29,29-30,15632,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T14:00:00Z,2026-09-08,31,31-32,16018,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T15:00:00Z,2026-09-08,33,33-34,16508,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T16:00:00Z,2026-09-08,35,35-36,16974,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T17:00:00Z,2026-09-08,37,37-38,17295,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T18:00:00Z,2026-09-08,39,39-40,17639,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T19:00:00Z,2026-09-08,41,41-42,18094,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T20:00:00Z,2026-09-08,43,43-44,18460,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T21:00:00Z,2026-09-08,45,45-46,18454,WINDFOR
2026-09-07T10:30:00Z,2026-09-08T22:00:00Z,2026-09-08,47,47-48,18110,WINDFOR
2026-09-07T12:30:00Z,2026-09-07T23:00:00Z,2026-09-08,1,1-2,15743,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T00:00:00Z,2026-09-08,3,3-4,16485,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T01:00:00Z,2026-09-08,5,5-6,17028,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T02:00:00Z,2026-09-08,7,7-8,17311,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T03:00:00Z,2026-09-08,9,9-10,17434,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T04:00:00Z,2026-09-08,11,11-12,17435,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T05:00:00Z,2026-09-08,13,13-14,17419,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T06:00:00Z,2026-09-08,15,15-16,17315,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T07:00:00Z,2026-09-08,17,17-18,17116,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T08:00:00Z,2026-09-08,19,19-20,16844,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T09:00:00Z,2026-09-08,21,21-22,16557,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T10:00:00Z,2026-09-08,23,23-24,16167,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T11:00:00Z,2026-09-08,25,25-26,15815,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T12:00:00Z,2026-09-08,27,27-28,15684,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T13:00:00Z,2026-09-08,29,29-30,15750,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T14:00:00Z,2026-09-08,31,31-32,16124,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T15:00:00Z,2026-09-08,33,33-34,16608,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T16:00:00Z,2026-09-08,35,35-36,17070,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T17:00:00Z,2026-09-08,37,37-38,17325,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T18:00:00Z,2026-09-08,39,39-40,17621,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T19:00:00Z,2026-09-08,41,41-42,18022,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T20:00:00Z,2026-09-08,43,43-44,18380,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T21:00:00Z,2026-09-08,45,45-46,18359,WINDFOR
2026-09-07T12:30:00Z,2026-09-08T22:00:00Z,2026-09-08,47,47-48,17982,WINDFOR
2026-09-07T16:30:00Z,2026-09-07T23:00:00Z,2026-09-08,1,1-2,16049,WINDFOR
2026-09-07T16:30:00Z,2026-09-08T00:00:00Z,2026-09-08,3,3-4,16596,WINDFOR
2026-09-07T16:30:00Z,2026-09-08T01:00:00Z,2026-09-08,5,5-6,17002,WINDFOR
2026-09-07T16:30:00Z,2026-09-08T02:00:00Z,2026-09-08,7,7-8,17355,WINDFOR
2026-09-07T16:30:00Z,2026-09-08T03:00:00Z,2026-09-08,9,9-10,17538,WINDFOR
