publish_time_utc,start_time_utc,settlement_date,settlement_period,fuel_type,generation_mw
2026-09-07T23:05:00Z,2026-09-07T23:00:00Z,2026-09-08,1,WIND,10572
2026-09-07T23:10:00Z,2026-09-07T23:05:00Z,2026-09-08,1,WIND,10795
2026-09-07T23:15:00Z,2026-09-07T23:10:00Z,2026-09-08,1,WIND,11179
2026-09-07T23:20:00Z,2026-09-07T23:15:00Z,2026-09-08,1,WIND,11378
2026-09-07T23:25:00Z,2026-09-07T23:20:00Z,2026-09-08,1,WIND,11554
2026-09-07T23:30:00Z,2026-09-07T23:25:00Z,2026-09-08,1,WIND,11583
2026-09-07T23:35:00Z,2026-09-07T23:30:00Z,2026-09-08,2,WIND,11423
2026-09-07T23:40:00Z,2026-09-07T23:35:00Z,2026-09-08,2,WIND,11400
2026-09-07T23:45:00Z,2026-09-07T23:40:00Z,2026-09-08,2,WIND,11416
2026-09-07T23:50:00Z,2026-09-07T23:45:00Z,2026-09-08,2,WIND,11516
2026-09-07T23:55:00Z,2026-09-07T23:50:00Z,2026-09-08,2,WIND,11517
2026-09-08T00:00:00Z,2026-09-07T23:55:00Z,2026-09-08,2,WIND,11327
2026-09-08T00:05:00Z,2026-09-08T00:00:00Z,2026-09-08,3,WIND,11268
2026-09-08T00:10:00Z,2026-09-08T00:05:00Z,2026-09-08,3,WIND,11305
2026-09-08T00:15:00Z,2026-09-08T00:10:00Z,2026-09-08,3,WIND,11253
2026-09-08T00:20:00Z,2026-09-08T00:15:00Z,2026-09-08,3,WIND,11185
2026-09-08T00:25:00Z,2026-09-08T00:20:00Z,2026-09-08,3,WIND,11223
2026-09-08T00:30:00Z,2026-09-08T00:25:00Z,2026-09-08,3,WIND,11293
2026-09-08T00:35:00Z,2026-09-08T00:30:00Z,2026-09-08,4,WIND,11314
2026-09-08T00:40:00Z,2026-09-08T00:35:00Z,2026-09-08,4,WIND,11348
2026-09-08T00:45:00Z,2026-09-08T00:40:00Z,2026-09-08,4,WIND,11394
2026-09-08T00:50:00Z,2026-09-08T00:45:00Z,2026-09-08,4,WIND,11575
2026-09-08T00:55:00Z,2026-09-08T00:50:00Z,2026-09-08,4,WIND,12012
2026-09-08T01:00:00Z,2026-09-08T00:55:00Z,2026-09-08,4,WIND,12454
2026-09-08T01:05:00Z,2026-09-08T01:00:00Z,2026-09-08,5,WIND,12716
2026-09-08T01:10:00Z,2026-09-08T01:05:00Z,2026-09-08,5,WIND,13003
2026-09-08T01:15:00Z,2026-09-08T01:10:00Z,2026-09-08,5,WIND,13216
2026-09-08T01:20:00Z,2026-09-08T01:15:00Z,2026-09-08,5,WIND,13336
2026-09-08T01:25:00Z,2026-09-08T01:20:00Z,2026-09-08,5,WIND,13545
2026-09-08T01:30:00Z,2026-09-08T01:25:00Z,2026-09-08,5,WIND,13678
2026-09-08T01:35:00Z,2026-09-08T01:30:00Z,2026-09-08,6,WIND,13687
2026-09-08T01:40:00Z,2026-09-08T01:35:00Z,2026-09-08,6,WIND,13805
2026-09-08T01:45:00Z,2026-09-08T01:40:00Z,2026-09-08,6,WIND,13680
2026-09-08T01:50:00Z,2026-09-08T01:45:00Z,2026-09-08,6,WIND,13729
2026-09-08T01:55:00Z,2026-09-08T01:50:00Z,2026-09-08,6,WIND,13739
2026-09-08T02:00:00Z,2026-09-08T01:55:00Z,2026-09-08,6,WIND,13674
2026-09-08T02:05:00Z,2026-09-08T02:00:00Z,2026-09-08,7,WIND,13741
2026-09-08T02:10:00Z,2026-09-08T02:05:00Z,2026-09-08,7,WIND,13914
2026-09-08T02:15:00Z,2026-09-08T02:10:00Z,2026-09-08,7,WIND,13997
2026-09-08T02:20:00Z,2026-09-08T02:15:00Z,2026-09-08,7,WIND,14041
2026-09-08T02:25:00Z,2026-09-08T02:20:00Z,2026-09-08,7,WIND,14123
2026-09-08T02:30:00Z,2026-09-08T02:25:00Z,2026-09-08,7,WIND,14251
2026-09-08T02:35:00Z,2026-09-08T02:30:00Z,2026-09-08,8,WIND,14319
2026-09-08T02:40:00Z,2026-09-08T02:35:00Z,2026-09-08,8,WIND,14348
2026-09-08T02:45:00Z,2026-09-08T02:40:00Z,2026-09-08,8,WIND,14470
2026-09-08T02:50:00Z,2026-09-08T02:45:00Z,2026-09-08,8,WIND,14549
2026-09-08T02:55:00Z,2026-09-08T02:50:00Z,2026-09-08,8,WIND,14601
2026-09-08T03:00:00Z,2026-09-08T02:55:00Z,2026-09-08,8,WIND,14657
2026-09-08T03:05:00Z,2026-09-08T03:00:00Z,2026-09-08,9,WIND,14667
2026-09-08T03:10:00Z,2026-09-08T03:05:00Z,2026-09-08,9,WIND,14691
2026-09-08T03:15:00Z,2026-09-08T03:10:00Z,2026-09-08,9,WIND,14769
2026-09-08T03:20:00Z,2026-09-08T03:15:00Z,2026-09-08,9,WIND,14784
2026-09-08T03:25:00Z,2026-09-08T03:20:00Z,2026-09-08,9,WIND,14770
2026-09-08T03:30:00Z,2026-09-08T03:25:00Z,2026-09-08,9,WIND,14788
2026-09-08T03:35:00Z,2026-09-08T03:30:00Z,2026-09-08,10,WIND,14800
2026-09-08T03:40:00Z,2026-09-08T03:35:00Z,2026-09-08,10,WIND,14837
2026-09-08T03:45:00Z,2026-09-08T03:40:00Z,2026-09-08,10,WIND,14839
2026-09-08T03:50:00Z,2026-09-08T03:45:00Z,2026-09-08,10,WIND,14784
2026-09-08T03:55:00Z,2026-09-08T03:50:00Z,2026-09-08,10,WIND,14766
2026-09-08T04:00:00Z,2026-09-08T03:55:00Z,2026-09-08,10,WIND,14757
2026-09-08T04:05:00Z,2026-09-08T04:00:00Z,2026-09-08,11,WIND,14757
2026-09-08T04:10:00Z,2026-09-08T04:05:00Z,2026-09-08,11,WIND,14859
2026-09-08T04:15:00Z,2026-09-08T04:10:00Z,2026-09-08,11,WIND,14918
2026-09-08T04:20:00Z,2026-09-08T04:15:00Z,2026-09-08,11,WIND,14865
2026-09-08T04:25:00Z,2026-09-08T04:20:00Z,2026-09-08,11,WIND,14706
2026-09-08T04:30:00Z,2026-09-08T04:25:00Z,2026-09-08,11,WIND,14644
2026-09-08T04:35:00Z,2026-09-08T04:30:00Z,2026-09-08,12,WIND,14628
2026-09-08T04:40:00Z,2026-09-08T04:35:00Z,2026-09-08,12,WIND,14656
2026-09-08T04:45:00Z,2026-09-08T04:40:00Z,2026-09-08,12,WIND,14637
2026-09-08T04:50:00Z,2026-09-08T04:45:00Z,2026-09-08,12,WIND,14633
2026-09-08T04:55:00Z,2026-09-08T04:50:00Z,2026-09-08,12,WIND,14590
2026-09-08T05:00:00Z,2026-09-08T04:55:00Z,2026-09-08,12,WIND,14633
2026-09-08T05:05:00Z,2026-09-08T05:00:00Z,2026-09-08,13,WIND,14528
2026-09-08T05:10:00Z,2026-09-08T05:05:00Z,2026-09-08,13,WIND,14365
2026-09-08T05:15:00Z,2026-09-08T05:10:00Z,2026-09-08,13,WIND,14181
2026-09-08T05:20:00Z,2026-09-08T05:15:00Z,2026-09-08,13,WIND,14114
2026-09-08T05:25:00Z,2026-09-08T05:20:00Z,2026-09-08,13,WIND,13994
2026-09-08T05:30:00Z,2026-09-08T05:25:00Z,2026-09-08,13,WIND,13641
2026-09-08T05:35:00Z,2026-09-08T05:30:00Z,2026-09-08,14,WIND,13560
2026-09-08T05:40:00Z,2026-09-08T05:35:00Z,2026-09-08,14,WIND,13492
2026-09-08T05:45:00Z,2026-09-08T05:40:00Z,2026-09-08,14,WIND,13509
2026-09-08T05:50:00Z,2026-09-08T05:45:00Z,2026-09-08,14,WIND,13459
2026-09-08T05:55:00Z,2026-09-08T05:50:00Z,2026-09-08,14,WIND,13475
2026-09-08T06:00:00Z,2026-09-08T05:55:00Z,2026-09-08,14,WIND,13415
2026-09-08T06:05:00Z,2026-09-08T06:00:00Z,2026-09-08,15,WIND,13343
2026-09-08T06:10:00Z,2026-09-08T06:05:00Z,2026-09-08,15,WIND,13255
2026-09-08T06:15:00Z,2026-09-08T06:10:00Z,2026-09-08,15,WIND,13287
2026-09-08T06:20:00Z,2026-09-08T06:15:00Z,2026-09-08,15,WIND,13358
2026-09-08T06:25:00Z,2026-09-08T06:20:00Z,2026-09-08,15,WIND,13463
2026-09-08T06:30:00Z,2026-09-08T06:25:00Z,2026-09-08,15,WIND,13466
2026-09-08T06:35:00Z,2026-09-08T06:30:00Z,2026-09-08,16,WIND,13399
2026-09-08T06:40:00Z,2026-09-08T06:35:00Z,2026-09-08,16,WIND,13381
2026-09-08T06:45:00Z,2026-09-08T06:40:00Z,2026-09-08,16,WIND,13320
2026-09-08T06:50:00Z,2026-09-08T06:45:00Z,2026-09-08,16,WIND,13176
2026-09-08T06:55:00Z,2026-09-08T06:50:00Z,2026-09-08,16,WIND,13039
2026-09-08T07:00:00Z,2026-09-08T06:55:00Z,2026-09-08,16,WIND,13000
2026-09-08T07:05:00Z,2026-09-08T07:00:00Z,2026-09-08,17,WIND,12924
2026-09-08T07:10:00Z,2026-09-08T07:05:00Z,2026-09-08,17,WIND,12670
2026-09-08T07:15:00Z,2026-09-08T07:10:00Z,2026-09-08,17,WIND,12436
2026-09-08T07:20:00Z,2026-09-08T07:15:00Z,2026-09-08,17,WIND,12247
2026-09-08T07:25:00Z,2026-09-08T07:20:00Z,2026-09-08,17,WIND,12354
2026-09-08T07:30:00Z,2026-09-08T07:25:00Z,2026-09-08,17,WIND,12418
2026-09-08T07:35:00Z,2026-09-08T07:30:00Z,2026-09-08,18,WIND,12257
2026-09-08T07:40:00Z,2026-09-08T07:35:00Z,2026-09-08,18,WIND,12144
2026-09-08T07:45:00Z,2026-09-08T07:40:00Z,2026-09-08,18,WIND,12076
2026-09-08T07:50:00Z,2026-09-08T07:45:00Z,2026-09-08,18,WIND,11997
2026-09-08T07:55:00Z,2026-09-08T07:50:00Z,2026-09-08,18,WIND,11898
2026-09-08T08:00:00Z,2026-09-08T07:55:00Z,2026-09-08,18,WIND,11881
2026-09-08T08:05:00Z,2026-09-08T08:00:00Z,2026-09-08,19,WIND,11907
2026-09-08T08:10:00Z,2026-09-08T08:05:00Z,2026-09-08,19,WIND,11901
2026-09-08T08:15:00Z,2026-09-08T08:10:00Z,2026-09-08,19,WIND,11877
2026-09-08T08:20:00Z,2026-09-08T08:15:00Z,2026-09-08,19,WIND,11806
2026-09-08T08:25:00Z,2026-09-08T08:20:00Z,2026-09-08,19,WIND,11658
2026-09-08T08:30:00Z,2026-09-08T08:25:00Z,2026-09-08,19,WIND,11458
2026-09-08T08:35:00Z,2026-09-08T08:30:00Z,2026-09-08,20,WIND,11373
2026-09-08T08:40:00Z,2026-09-08T08:35:00Z,2026-09-08,20,WIND,11412
2026-09-08T08:45:00Z,2026-09-08T08:40:00Z,2026-09-08,20,WIND,11401
2026-09-08T08:50:00Z,2026-09-08T08:45:00Z,2026-09-08,20,WIND,11323
2026-09-08T08:55:00Z,2026-09-08T08:50:00Z,2026-09-08,20,WIND,11298
2026-09-08T09:00:00Z,2026-09-08T08:55:00Z,2026-09-08,20,WIND,11246
2026-09-08T09:05:00Z,2026-09-08T09:00:00Z,2026-09-08,21,WIND,11165
2026-09-08T09:10:00Z,2026-09-08T09:05:00Z,2026-09-08,21,WIND,11136
2026-09-08T09:15:00Z,2026-09-08T09:10:00Z,2026-09-08,21,WIND,11162
2026-09-08T09:20:00Z,2026-09-08T09:15:00Z,2026-09-08,21,WIND,11153
2026-09-08T09:25:00Z,2026-09-08T09:20:00Z,2026-09-08,21,WIND,11139
2026-09-08T09:30:00Z,2026-09-08T09:25:00Z,2026-09-08,21,WIND,11334
2026-09-08T09:35:00Z,2026-09-08T09:30:00Z,2026-09-08,22,WIND,11373
2026-09-08T09:40:00Z,2026-09-08T09:35:00Z,2026-09-08,22,WIND,11197
2026-09-08T09:45:00Z,2026-09-08T09:40:00Z,2026-09-08,22,WIND,11172
2026-09-08T09:50:00Z,2026-09-08T09:45:00Z,2026-09-08,22,WIND,11229
2026-09-08T09:55:00Z,2026-09-08T09:50:00Z,2026-09-08,22,WIND,11212
2026-09-08T10:00:00Z,2026-09-08T09:55:00Z,2026-09-08,22,WIND,11213
2026-09-08T10:05:00Z,2026-09-08T10:00:00Z,2026-09-08,23,WIND,11118
2026-09-08T10:10:00Z,2026-09-08T10:05:00Z,2026-09-08,23,WIND,11064
2026-09-08T10:15:00Z,2026-09-08T10:10:00Z,2026-09-08,23,WIND,11106
2026-09-08T10:20:00Z,2026-09-08T10:15:00Z,2026-09-08,23,WIND,11109
2026-09-08T10:25:00Z,2026-09-08T10:20:00Z,2026-09-08,23,WIND,11148
2026-09-08T10:30:00Z,2026-09-08T10:25:00Z,2026-09-08,23,WIND,11098
2026-09-08T10:35:00Z,2026-09-08T10:30:00Z,2026-09-08,24,WIND,11099
