bm_unit,national_grid_bm_unit,settlement_date,settlement_period,time_from_utc,time_to_utc,level_from_mw,level_to_mw
2__BLOND003,AG-BEDF03,2026-09-08,1,2026-09-07T23:00:00Z,2026-09-07T23:30:00Z,4,4
2__BLOND003,AG-BEDF03,2026-09-08,2,2026-09-07T23:30:00Z,2026-09-08T00:00:00Z,6,6
2__BLOND003,AG-BEDF03,2026-09-08,3,2026-09-08T00:00:00Z,2026-09-08T00:30:00Z,1,1
2__BLOND003,AG-BEDF03,2026-09-08,4,2026-09-08T00:30:00Z,2026-09-08T01:00:00Z,3,3
2__BLOND003,AG-BEDF03,2026-09-08,5,2026-09-08T01:00:00Z,2026-09-08T01:30:00Z,5,5
2__BLOND003,AG-BEDF03,2026-09-08,6,2026-09-08T01:30:00Z,2026-09-08T02:00:00Z,5,5
2__BLOND003,AG-BEDF03,2026-09-08,7,2026-09-08T02:00:00Z,2026-09-08T02:30:00Z,4,4
2__BLOND003,AG-BEDF03,2026-09-08,8,2026-09-08T02:30:00Z,2026-09-08T03:00:00Z,5,5
2__BLOND003,AG-BEDF03,2026-09-08,9,2026-09-08T03:00:00Z,2026-09-08T03:30:00Z,5,5
2__BLOND003,AG-BEDF03,2026-09-08,10,2026-09-08T03:30:00Z,2026-09-08T04:00:00Z,6,6
2__BLOND003,AG-BEDF03,2026-09-08,11,2026-09-08T04:00:00Z,2026-09-08T04:30:00Z,7,7
2__BLOND003,AG-BEDF03,2026-09-08,12,2026-09-08T04:30:00Z,2026-09-08T05:00:00Z,7,7
2__BLOND003,AG-BEDF03,2026-09-08,13,2026-09-08T05:00:00Z,2026-09-08T05:30:00Z,7,7
2__BLOND003,AG-BEDF03,2026-09-08,14,2026-09-08T05:30:00Z,2026-09-08T06:00:00Z,6,6
2__BLOND003,AG-BEDF03,2026-09-08,15,2026-09-08T06:00:00Z,2026-09-08T06:30:00Z,4,4
2__BLOND003,AG-BEDF03,2026-09-08,16,2026-09-08T06:30:00Z,2026-09-08T07:00:00Z,3,3
2__BLOND003,AG-BEDF03,2026-09-08,17,2026-09-08T07:00:00Z,2026-09-08T07:30:00Z,3,3
2__BLOND003,AG-BEDF03,2026-09-08,18,2026-09-08T07:30:00Z,2026-09-08T08:00:00Z,2,2
2__BLOND003,AG-BEDF03,2026-09-08,19,2026-09-08T08:00:00Z,2026-09-08T08:30:00Z,2,2
2__BLOND003,AG-BEDF03,2026-09-08,20,2026-09-08T08:30:00Z,2026-09-08T09:00:00Z,1,1
2__BLOND003,AG-BEDF03,2026-09-08,21,2026-09-08T09:00:00Z,2026-09-08T09:30:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,22,2026-09-08T09:30:00Z,2026-09-08T10:00:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,23,2026-09-08T10:00:00Z,2026-09-08T10:30:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,24,2026-09-08T10:30:00Z,2026-09-08T11:00:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,25,2026-09-08T11:00:00Z,2026-09-08T11:30:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,26,2026-09-08T11:30:00Z,2026-09-08T12:00:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,27,2026-09-08T12:00:00Z,2026-09-08T12:30:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,28,2026-09-08T12:30:00Z,2026-09-08T13:00:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,29,2026-09-08T13:00:00Z,2026-09-08T13:30:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,30,2026-09-08T13:30:00Z,2026-09-08T14:00:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,31,2026-09-08T14:00:00Z,2026-09-08T14:30:00Z,0,0
2__BLOND003,AG-BEDF03,2026-09-08,32,2026-09-08T14:30:00Z,2026-09-08T15:00:00Z,2,2
2__BLOND003,AG-BEDF03,2026-09-08,33,2026-09-08T15:00:00Z,2026-09-08T15:30:00Z,1,1
2__BLOND003,AG-BEDF03,2026-09-08,34,2026-09-08T15:30:00Z,2026-09-08T16:00:00Z,3,3
2__BLOND003,AG-BEDF03,2026-09-08,35,2026-09-08T16:00:00Z,2026-09-08T16:30:00Z,3,3
2__BLOND003,AG-BEDF03,2026-09-08,36,2026-09-08T16:30:00Z,2026-09-08T17:00:00Z,4,4
2__BLOND003,AG-BEDF03,2026-09-08,37,2026-09-08T17:00:00Z,2026-09-08T17:30:00Z,5,5
2__BLOND003,AG-BEDF03,2026-09-08,38,2026-09-08T17:30:00Z,2026-09-08T18:00:00Z,6,6
2__BLOND003,AG-BEDF03,2026-09-08,39,2026-09-08T18:00:00Z,2026-09-08T18:30:00Z,9,9
2__BLOND003,AG-BEDF03,2026-09-08,40,2026-09-08T18:30:00Z,2026-09-08T19:00:00Z,9,9
2__BLOND003,AG-BEDF03,2026-09-08,41,2026-09-08T19:00:00Z,2026-09-08T19:30:00Z,9,9
2__BLOND003,AG-BEDF03,2026-09-08,42,2026-09-08T19:30:00Z,2026-09-08T20:00:00Z,7,7
2__BLOND003,AG-BEDF03,2026-09-08,43,2026-09-08T20:00:00Z,2026-09-08T20:30:00Z,6,6
2__BLOND003,AG-BEDF03,2026-09-08,44,2026-09-08T20:30:00Z,2026-09-08T21:00:00Z,4,4
2__BLOND003,AG-BEDF03,2026-09-08,45,2026-09-08T21:00:00Z,2026-09-08T21:30:00Z,9,9
2__BLOND003,AG-BEDF03,2026-09-08,46,2026-09-08T21:30:00Z,2026-09-08T22:00:00Z,6,6
2__BLOND003,AG-BEDF03,2026-09-08,47,2026-09-08T22:00:00Z,2026-09-08T22:30:00Z,4,4
2__BLOND003,AG-BEDF03,2026-09-08,48,2026-09-08T22:30:00Z,2026-09-08T23:00:00Z,5,5
2__PEDGE003,CMSTW-1,2026-09-08,1,2026-09-07T23:00:00Z,2026-09-07T23:30:00Z,24,24
2__PEDGE003,CMSTW-1,2026-09-08,2,2026-09-07T23:30:00Z,2026-09-08T00:00:00Z,24,24
2__PEDGE003,CMSTW-1,2026-09-08,3,2026-09-08T00:00:00Z,2026-09-08T00:30:00Z,24,24
2__PEDGE003,CMSTW-1,2026-09-08,4,2026-09-08T00:30:00Z,2026-09-08T01:00:00Z,23,23
2__PEDGE003,CMSTW-1,2026-09-08,5,2026-09-08T01:00:00Z,2026-09-08T01:30:00Z,23,23
2__PEDGE003,CMSTW-1,2026-09-08,6,2026-09-08T01:30:00Z,2026-09-08T02:00:00Z,23,23
2__PEDGE003,CMSTW-1,2026-09-08,7,2026-09-08T02:00:00Z,2026-09-08T02:30:00Z,24,24
2__PEDGE003,CMSTW-1,2026-09-08,8,2026-09-08T02:30:00Z,2026-09-08T03:00:00Z,23,23
2__PEDGE003,CMSTW-1,2026-09-08,9,2026-09-08T03:00:00Z,2026-09-08T03:30:00Z,24,24
2__PEDGE003,CMSTW-1,2026-09-08,10,2026-09-08T03:30:00Z,2026-09-08T04:00:00Z,24,24
