bm_unit,national_grid_bm_unit,eic,bm_unit_name,lead_party,bm_unit_type,generation_capacity_mw,gsp_group_id,north_of_b6,side_of_b6,side_grade,side_basis,queryable,bid_paid_gbp_015
2__BLOND003,AG-BEDF03,,EDFE Aggregate E Mids 03,EDF Energy Customers Limited,S,20.000,_B,False,south,C,GSP group _B,True,
2__NNATP001,NNPW01,,2__NNATP001,Npower Commercial Gas Limited,S,50.000,_N,True,north,C,GSP group _N,True,
2__PEDGE003,CMSTW-1,,2__PEDGE003,Edgware Energy Limited,S,55.749,_P,True,north,C,GSP group _P,True,59325.294479360002128492
2__PEDGE004,RSHLW-1,48W00000RSHLW-1S,2__PEDGE004,Edgware Energy Limited,S,27.376,_P,True,north,C,GSP group _P,True,
2__PENEC001,ROTHW-1,,Rothes Windfarm,Eneco Energy Trade,S,54.501,_P,True,north,B,TEC register row 'Markinch (Rothes) Biomass CHP Plant' hosted by SPT,True,
2__PENEC002,PAUHW-1,48W00000PAUHW-11,Pauls Hill Windfarm,Eneco Energy Trade,S,70.167,_P,True,north,C,GSP group _P,True,
2__PSMAE001,CAUSW-1,48W00000CAUSW-1D,2__PSMAE001,Smartestenergy Limited,S,0.000,_P,True,north,C,GSP group _P,True,
2__PSMAE003,TACHW-1,,CE Tacher Turbines Limited,Smartestenergy Limited,S,12.900,_P,True,north,C,GSP group _P,True,
2__PSMAR001,AG-PSMA01,,2__PSMAR001,Smartestenergy Limited,S,50.000,_P,True,north,C,GSP group _P,True,
2__PSTAT001,CAIRW-2,48W00000CAIRW-2E,STAT P2 North Scotland,Statkraft Markets Gmbh,S,42.000,_P,True,north,C,GSP group _P,True,
2__PSTAT002,MDHLW-1,48W00000MDHLW-1P,STAT P3 North Scotland,Statkraft Markets Gmbh,S,76.000,_P,True,north,C,GSP group _P,True,
C__PSMAR001,ACHLW-1,,C__PSMAR001-AAA-ACH-183,Smartestenergy Limited,S,11.282,_P,True,north,C,GSP group _P,True,
C__PSTAT011,TMNCW-1,,C__PSTAT011-AAA-NAN-184,Statkraft Markets Gmbh,S,40.000,_P,True,north,C,GSP group _P,True,29207.395811999997704318
E_ABRTW-1,ABRTW-1,48W00000ABRTW-1Z,Auchrobert Wind Farm,Npower Commercial Gas Limited,E,36.000,_N,True,north,B,TEC register row 'Auchrobert Wind Farm' hosted by SPT,True,
E_AIRSW-1,AIRSW-1,,Airies,ENGIE Power Limited,E,38.000,_N,True,north,B,TEC register row 'Airies Wind Farm' hosted by SPT,True,
E_ASHWW-1,ASHWW-1,48W00000ASHWW-1Z,Andershaw Wind Farm,Statkraft Markets Gmbh,E,35.000,_N,True,north,B,TEC register row 'Andershaw Wind Farm' hosted by SPT,True,
E_ASLVW-1,ASLVW-1,,Assel Valley Wind Farm,Npower Commercial Gas Limited,E,26.000,_N,True,north,C,GSP group _N,True,
E_BABAW-1,BABAW-1,48W00000BABAW-13,Baillie Wind Farm,Statkraft Markets Gmbh,E,52.500,_P,True,north,B,TEC register row 'Baillie Greener Grid Park' hosted by SHET,True,18450.013178982883459867
E_BETHW-1,BETHW-1,48W00000BETHW-1H,BETHW-1,SP Renewables (UK) Limited,E,29.750,_P,True,north,C,GSP group _P,True,
E_BLARW-1,BLARW-1,,E_BLARW-1,Erova Energy Limited,E,35.000,_P,True,north,C,GSP group _P,True,
E_BNWKW-1,BNWKW-1,48W00000BNWKW-1W,Burn of Whilk Windfarm,Eneco Energy Trade,E,22.500,_P,True,north,B,TEC register row 'Burn of Whilk Wind Farm' hosted by SHET,True,
E_BRDUW-1,BRDUW-1,48W00000BRDUW-1V,Braes of Doune,Erova Energy Limited,E,74.000,_P,True,north,B,TEC register row 'Braes of Doune' hosted by SHET,True,
E_BRNLW-1,BRNLW-1,,Brownieleys,ENGIE Power Limited,E,7.500,_P,True,north,B,TEC register row 'Brownieleys' hosted by SHET,True,
E_BRYBW-1,BRYBW-1,48W00000BRYBW-10,Berry Burn Wind Farm,Statkraft Markets Gmbh,E,62.708,_P,True,north,B,TEC register row 'Berry Burn Wind Farm' hosted by SHET,True,
E_BTUIW-2,BTUIW-2,48W00000BTUIW-2A,Beinn An Tuirc 2,SP Renewables (UK) Limited,E,43.700,_P,True,north,B,TEC register row 'Beinn an Tuirc 2' hosted by SHET,True,
E_BTUIW-3,BTUIW-3,,Beinn an Tuirc III Windfarm,SP Renewables (UK) Limited,E,52.000,_P,True,north,C,GSP group _P,True,12079.339812540000423276
E_BURBO,BURBW-1,48W00000BURBW-1L,Burbo Offshore Wind,Orsted Burbo (UK) Limited,E,90.000,_D,False,south,B,TEC register row 'Burbo Bank Offshore Wind Farm' hosted by NGET,True,
